Epoch: 72, TL: 0.00789, VL: 0.04617, TA: 0.95050, VA: 0.76250
Epoch: 73, TL: 0.00866, VL: 0.04480, TA: 0.94275, VA: 0.75450
Epoch: 74, TL: 0.00720, VL: 0.07347, TA: 0.95450, VA: 0.63950
Epoch: 75, TL: 0.00691, VL: 0.05360, TA: 0.95600, VA: 0.73250
Epoch: 76, TL: 0.00648, VL: 0.05938, TA: 0.96062, VA: 0.70250
Epoch: 77, TL: 0.00759, VL: 0.06828, TA: 0.94837, VA: 0.67250
Epoch: 78, TL: 0.00645, VL: 0.04357, TA: 0.95588, VA: 0.77400
Epoch: 79, TL: 0.00648, VL: 0.04504, TA: 0.95800, VA: 0.75350
Epoch: 80, TL: 0.00702, VL: 0.06560, TA: 0.95188, VA: 0.69300
Epoch: 81, TL: 0.00784, VL: 0.05288, TA: 0.94937, VA: 0.71150
Epoch: 82, TL: 0.00615, VL: 0.05027, TA: 0.96175, VA: 0.74750
Epoch: 83, TL: 0.00672, VL: 0.08667, TA: 0.95762, VA: 0.64950
Epoch: 84, TL: 0.00758, VL: 0.05726, TA: 0.95188, VA: 0.69900
Epoch: 85, TL: 0.00685, VL: 0.05827, TA: 0.95575, VA: 0.70250
Epoch: 86, TL: 0.00630, VL: 0.05868, TA: 0.95937, VA: 0.71100
Epoch: 87, TL: 0.00630, VL: 0.06015, TA: 0.96250, VA: 0.71400
Epoch: 88, TL: 0.00507, VL: 0.04691, TA: 0.97125, VA: 0.74800
Epoch: 89, TL: 0.00572, VL: 0.05207, TA: 0.96313, VA: 0.75350
Epoch: 90, TL: 0.00535, VL: 0.06836, TA: 0.96337, VA: 0.67300
Epoch: 91, TL: 0.00595, VL: 0.06511, TA: 0.96325, VA: 0.69750
Epoch: 92, TL: 0.00582, VL: 0.07046, TA: 0.96337, VA: 0.67000
Epoch: 93, TL: 0.00634, VL: 0.05586, TA: 0.96037, VA: 0.73800
Epoch: 94, TL: 0.00631, VL: 0.08296, TA: 0.96275, VA: 0.63350
Epoch: 95, TL: 0.00660, VL: 0.04869, TA: 0.95625, VA: 0.75650
Epoch: 96, TL: 0.00424, VL: 0.06578, TA: 0.97337, VA: 0.68600
Epoch: 97, TL: 0.00501, VL: 0.06287, TA: 0.96800, VA: 0.70250
Epoch: 98, TL: 0.00534, VL: 0.05625, TA: 0.96200, VA: 0.74100
Epoch: 99, TL: 0.00698, VL: 0.05490, TA: 0.95850, VA: 0.70750
Epoch: 100, TL: 0.00503, VL: 0.05339, TA: 0.96488, VA: 0.73000
Epoch: 101, TL: 0.00484, VL: 0.06192, TA: 0.96750, VA: 0.71500
Epoch: 102, TL: 0.00420, VL: 0.05622, TA: 0.97225, VA: 0.71750
