Epoch: 118, TL: 0.00000, VL: 0.00000
Epoch: 119, TL: 0.00000, VL: 0.00000
Epoch: 120, TL: 0.00000, VL: 0.00000, TA: 1.00000, VA: 1.00000
Epoch: 121, TL: 0.00000, VL: 0.00000
Epoch: 122, TL: 0.00000, VL: 0.00000
Epoch: 123, TL: 0.00000, VL: 0.00000
Epoch: 124, TL: 0.00000, VL: 0.00000
Epoch: 125, TL: 0.01115, VL: 0.00763
Epoch: 126, TL: 0.00064, VL: 0.00014
Epoch: 127, TL: 0.00008, VL: 0.00005
Epoch: 128, TL: 0.00005, VL: 0.00003
Epoch: 129, TL: 0.00003, VL: 0.00003
Epoch: 130, TL: 0.00003, VL: 0.00002
Epoch: 131, TL: 0.00002, VL: 0.00002
Epoch: 132, TL: 0.00002, VL: 0.00002
Epoch: 133, TL: 0.00001, VL: 0.00001
Epoch: 134, TL: 0.00001, VL: 0.00001
Epoch: 135, TL: 0.00001, VL: 0.00001
Epoch: 136, TL: 0.00001, VL: 0.00001
Epoch: 137, TL: 0.00001, VL: 0.00001
Epoch: 138, TL: 0.00001, VL: 0.00001
Epoch: 139, TL: 0.00000, VL: 0.00001
Epoch: 140, TL: 0.00000, VL: 0.00000, TA: 1.00000, VA: 1.00000
Epoch: 141, TL: 0.00000, VL: 0.00000
Epoch: 142, TL: 0.00000, VL: 0.00000
Epoch: 143, TL: 0.00000, VL: 0.00000
