Epoch: 55, TL: -0.21571036392700316, VL: -0.17765726149082184, TA: 0.2175, VA: 0.18
Epoch: 56, TL: -0.21805477703746376, VL: -0.17084620893001556, TA: 0.2225, VA: 0.17
Epoch: 57, TL: -0.22166197855202094, VL: -0.1665816456079483, TA: 0.22375, VA: 0.165
Epoch: 58, TL: -0.2178703178982293, VL: -0.15642854571342468, TA: 0.22, VA: 0.155
Epoch: 59, TL: -0.22342071436147168, VL: -0.17575907707214355, TA: 0.22625, VA: 0.175
Epoch: 60, TL: -0.214279639391978, VL: -0.18473614752292633, TA: 0.21625, VA: 0.185
Epoch: 61, TL: -0.23106364812944144, VL: -0.18456318974494934, TA: 0.2325, VA: 0.19
Epoch: 62, TL: -0.23210943370552337, VL: -0.1931736171245575, TA: 0.2325, VA: 0.19
Epoch: 63, TL: -0.2412871455827867, VL: -0.20333196222782135, TA: 0.2425, VA: 0.205
Epoch: 64, TL: -0.22606934626917227, VL: -0.18592222034931183, TA: 0.23, VA: 0.185
Epoch: 65, TL: -0.23325032732933387, VL: -0.19662675261497498, TA: 0.235, VA: 0.195
Epoch: 66, TL: -0.2474833199034772, VL: -0.18774792551994324, TA: 0.24875, VA: 0.185
Epoch: 67, TL: -0.2592424335143835, VL: -0.16826102137565613, TA: 0.25875, VA: 0.165
Epoch: 68, TL: -0.2510178692331616, VL: -0.2030993402004242, TA: 0.2525, VA: 0.205
Epoch: 69, TL: -0.26626560639715174, VL: -0.20173361897468567, TA: 0.2675, VA: 0.205
Epoch: 70, TL: -0.26697187385905247, VL: -0.20303817093372345, TA: 0.26875, VA: 0.2
Epoch: 71, TL: -0.2577791708985796, VL: -0.1989336609840393, TA: 0.25875, VA: 0.2
Epoch: 72, TL: -0.2554992784701393, VL: -0.2030382752418518, TA: 0.25625, VA: 0.205
Epoch: 73, TL: -0.24467328490835097, VL: -0.20240487158298492, TA: 0.245, VA: 0.205
Epoch: 74, TL: -0.2592388890886782, VL: -0.2063383311033249, TA: 0.26125, VA: 0.21
Epoch: 75, TL: -0.24912220803404753, VL: -0.1783744990825653, TA: 0.24875, VA: 0.18
Epoch: 76, TL: -0.26544414575751757, VL: -0.19861216843128204, TA: 0.2675, VA: 0.2
Epoch: 77, TL: -0.2705038691742589, VL: -0.20371487736701965, TA: 0.27125, VA: 0.205
Epoch: 78, TL: -0.23553738147282766, VL: -0.18896442651748657, TA: 0.23375, VA: 0.19
Epoch: 79, TL: -0.2458711955203375, VL: -0.19370435178279877, TA: 0.24625, VA: 0.195
Epoch: 80, TL: -0.2649768421089962, VL: -0.19047078490257263, TA: 0.26625, VA: 0.19
Epoch: 81, TL: -0.24473170733355903, VL: -0.1644229143857956, TA: 0.24375, VA: 0.165
Epoch: 82, TL: -0.2621872457876445, VL: -0.1959666758775711, TA: 0.26375, VA: 0.195
Epoch: 83, TL: -0.253732011566028, VL: -0.1980651170015335, TA: 0.255, VA: 0.2
Epoch: 84, TL: -0.25715154320856976, VL: -0.211824432015419, TA: 0.25625, VA: 0.215
Epoch: 85, TL: -0.25729655180294203, VL: -0.19990478456020355, TA: 0.2575, VA: 0.2
Epoch: 86, TL: -0.26045096818018837, VL: -0.20682083070278168, TA: 0.26, VA: 0.21
Epoch: 87, TL: -0.26855584309918207, VL: -0.19984595477581024, TA: 0.27, VA: 0.2
Epoch: 88, TL: -0.26692409893068314, VL: -0.1847914457321167, TA: 0.2675, VA: 0.185
Epoch: 89, TL: -0.25994533231843175, VL: -0.19010315835475922, TA: 0.26, VA: 0.19
Epoch: 90, TL: -0.2695787431598124, VL: -0.2039289027452469, TA: 0.27, VA: 0.205
Epoch: 91, TL: -0.26971531219079464, VL: -0.209468811750412, TA: 0.27, VA: 0.21
Epoch: 92, TL: -0.26548539684409855, VL: -0.21336613595485687, TA: 0.26625, VA: 0.215
Epoch: 93, TL: -0.2749722550665992, VL: -0.20586328208446503, TA: 0.27625, VA: 0.2
Epoch: 94, TL: -0.2692516632975894, VL: -0.20847773551940918, TA: 0.26875, VA: 0.21
Epoch: 95, TL: -0.2837609126502058, VL: -0.20309464633464813, TA: 0.28375, VA: 0.205
Epoch: 96, TL: -0.27256057172103165, VL: -0.2154298573732376, TA: 0.27375, VA: 0.215
Epoch: 97, TL: -0.2816688646063224, VL: -0.20999309420585632, TA: 0.2825, VA: 0.21
Epoch: 98, TL: -0.27841775781672995, VL: -0.21008697152137756, TA: 0.27875, VA: 0.21
Epoch: 99, TL: -0.27601811227077194, VL: -0.2120053619146347, TA: 0.27625, VA: 0.21
Epoch: 100, TL: -0.26066583038326474, VL: -0.21987931430339813, TA: 0.2625, VA: 0.22
Epoch: 101, TL: -0.2714589556985526, VL: -0.21995703876018524, TA: 0.27125, VA: 0.22
Epoch: 102, TL: -0.2731242916132295, VL: -0.21094003319740295, TA: 0.27375, VA: 0.21
Epoch: 103, TL: -0.2665078205133358, VL: -0.21910463273525238, TA: 0.2675, VA: 0.22
Epoch: 104, TL: -0.27807711939612245, VL: -0.21500641107559204, TA: 0.27875, VA: 0.215
Epoch: 105, TL: -0.2840475458287395, VL: -0.2199930101633072, TA: 0.28375, VA: 0.22
